DERSADI,KR,ZORSEC,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
ADVANCED COMPUTER ARCHITECTURE,3,0,0,3,2,2,0,1,1,1,0,0,0
ADVANCED PROGRAMMING,3,1,1,3,1,2,0,0,0,0,0,0,0
ADVANCED READING AND WRITING,3,0,0,0,0,0,0,0,3,0,0,0,0
AĞ GÜVENLİĞİ,3,1,1,2,1,3,0,0,0,1,0,0,1
ALGORITHMS AND COMPLEXITY,3,0,2,3,1,0,0,0,0,0,0,0,0
ASSEMBLY PROGRAMMING,3,0,1,3,1,2,0,0,0,0,0,0,0
ATATÜRK İLKE.VE İNK.TARİHİ I,2,0,0,0,0,0,0,2,2,3,2,0,0
ATATÜRK İLKE.VE İNK.TARİHİ II,2,0,0,0,0,0,0,0,0,3,0,0,0
BİÇİMSEL DİLLER VE OTOMATA,3,0,1,3,0,1,0,0,0,0,0,0,0
BİLGİSAYAR AĞLARI,3,0,0,3,0,0,0,0,0,0,0,0,0
BİLGİSAYAR AĞLARI LAB.,1,0,0,3,2,2,2,2,0,0,0,0,0
BİLGİSAYAR MİMARİSİ,4,0,0,3,1,2,0,1,1,0,0,0,0
BİLGİSAYAR MİMARİSİ LAB.,1,0,0,3,1,2,0,1,1,1,0,0,0
BİLGİSAYAR MÜHENDİSLİĞİNE GİRİŞ,2,0,1,3,0,3,0,0,0,2,3,0,2
BİLGİSAYAR PROGRAMLAMA  MÜH. ARAŞTIRMALARI,3,0,1,3,3,3,2,3,2,2,2,3,0
BULANIK MANTIK,3,1,0,3,3,2,0,0,0,0,0,0,0
BÜYÜK VERİ İŞLENMESİ,3,1,0,1,1,3,0,1,0,0,0,0,0
CALCULUS I,4,0,3,0,0,0,0,0,0,0,0,0,0
CALCULUS II,4,0,3,0,0,0,0,0,0,0,0,0,0
CHEMISTRY,3,0,3,0,0,0,0,0,0,0,0,0,0
CHEMISTRY LAB.,1,0,3,0,0,1,0,2,0,0,0,0,0
COMPUTER PROGRAMMING,3,0,1,3,1,2,0,0,0,0,0,0,0
COMPUTER PROGRAMMING II,3,0,1,3,1,2,0,0,0,0,0,0,0
COMPUTER PROGRAMMING LAB II,1,0,0,3,2,2,2,2,0,1,0,0,0
COMPUTER PROGRAMMING LAB.,1,0,0,1,2,2,2,0,0,0,0,0,0
COMPUTER SECURITY,3,1,1,1,2,3,0,1,0,0,0,1,2
DATA SECURITY,3,1,2,3,0,0,0,0,0,0,0,0,0
DATABASE MANAGEMENT SYSTEMS,3,1,0,3,2,2,0,2,1,2,0,0,0
DATABASE MANAGEMENT SYSTEMS LAB.,1,0,0,3,2,2,0,2,1,2,0,0,0
DERİN ÖĞRENMEYE GİRİŞ,3,1,0,0,0,3,1,1,0,0,0,0,0
DIFFERENTIAL EQUATIONS,3,0,3,0,0,0,0,0,0,0,0,0,0
DIGITAL SYSTEMS I,3,0,1,3,1,0,0,0,0,0,0,0,0
DIGITAL SYSTEMS II,3,0,1,3,1,0,0,0,0,0,0,0,0
DIGITAL SYSTEMS LAB.,1,0,0,2,1,3,2,0,0,0,0,0,0
DIGITAL SYSTEMS LABORATORY,1,0,0,2,1,3,2,0,0,0,0,0,0
DISCRETE COMPUTATIONAL STRUCTURES,3,0,3,1,0,0,0,0,0,0,0,0,0
DISTRIBUTED SYSTEMS,3,1,0,3,0,0,0,0,0,0,0,0,0
DOSYA YAPILARI,3,0,1,3,0,2,1,2,0,0,0,0,0
ECONOMICS,3,0,0,0,0,0,0,0,0,3,0,1,0
ENGINEERING GRAPHICS,2,0,3,0,0,3,0,0,0,0,0,0,0
FUNDAMENTALS OF ELECTRONICS,3,0,1,3,0,0,0,0,0,0,0,0,0
GİRİŞİMCİLİK,3,0,0,0,0,0,0,0,0,2,2,3,0
HESAPLAMA GEOMETRISI,3,1,1,3,1,2,1,2,1,1,0,1,0
HESAPLAMA GEOMETRİSİ,3,1,1,3,1,2,1,2,1,1,0,1,0
IMAGE PROCESSING,3,1,1,3,0,0,0,2,1,0,0,0,0
INTRO. TO DATA MINING,3,1,0,3,1,2,0,1,0,1,0,0,0
INTRODUCTION TO ARTIFICIAL INTELLIGENCE,3,1,0,3,2,1,0,3,1,1,0,0,0
INTRODUCTION TO AUTONOMOUS MOBILE ROBOTS,3,1,0,2,3,1,2,2,0,0,0,1,0
INTRODUCTION TO COMPUTER ENGINEERING,2,0,0,2,0,3,0,0,0,0,3,0,0
INTRODUCTION TO COMPUTERS,3,0,1,3,0,3,0,0,0,2,3,0,2
INTRODUCTION TO DEEP LEARNING,3,1,0,0,0,3,1,1,0,0,0,0,0
INTRODUCTION TO MICROCOMPUTERS,3,0,1,3,2,1,0,1,0,0,0,0,0
INTRODUCTION TO MICROCOMPUTERS LAB.,1,0,0,0,1,2,3,0,0,0,0,0,0
INTRODUCTION TO OPERATING SYSTEMS,3,0,0,3,0,2,0,0,0,0,0,0,0
INTRODUCTION TO OPERATING SYSTEMS LAB.,1,0,0,3,2,2,2,2,0,0,0,0,0
INTRODUCTION TO PROGRAMMING,2,0,1,3,2,2,1,0,0,0,0,0,0
INTRODUCTION TO PROGRAMMING LAB.,1,0,0,3,2,2,2,2,1,0,0,0,0
INTRODUCTION TO RECOMMENDER SYSTEM,3,1,0,0,0,0,0,0,0,0,0,0,0
INTRODUCTION TO SECURE CODING,3,1,1,2,0,3,1,1,0,0,0,0,0
INTRODUCTION TO VHDL,3,1,1,3,2,2,1,2,1,2,1,0,0
INTRODUCTION TO WIRELESS SENSOR NETWORKS,3,1,0,0,0,0,0,0,0,0,0,0,0
İŞ SAĞLIĞI VE GÜVENLİĞİ II,2,0,0,0,0,0,0,0,0,0,3,1,3
İŞLETİM SİSTEMLERİNE GİRİŞ,3,0,0,3,0,2,0,0,0,0,0,0,0
İŞLETİM SİSTEMLERİNE GİRİŞ LAB.,1,0,0,3,2,2,2,2,0,0,0,0,0
KURUMSAL JAVA,3,1,1,3,1,2,1,2,1,2,1,2,0
LINEAR ALGEBRA,3,0,3,0,0,0,0,0,0,0,0,0,0
LİNEER CEBİR,3,0,3,0,0,0,0,0,0,0,0,0,0
MAKİNE ÖĞRENMESİ,3,1,2,3,3,1,0,0,0,0,0,0,0
MOBİL PROGRAMLAMA,3,1,1,1,1,3,0,1,0,0,0,0,0
MÜHENDİSLİK GRAFİĞİ,2,0,3,1,0,3,0,0,0,0,0,0,0
NESNE TABANLI PROGRAMLAMA I,3,0,0,3,1,2,0,1,0,0,0,0,0
NESNE TABANLI PROGRAMLAMA I LAB.,1,0,0,2,1,3,1,0,0,0,0,0,0
NETWORK APPLICATIONS,3,1,0,3,0,2,0,0,0,1,0,0,0
NEURAL NETWORKS,3,1,1,3,1,2,1,2,0,2,1,2,0
NUMERICAL METHODS,3,0,3,0,0,0,0,0,0,0,0,0,0
OBJECT ORIENTED PROGRAMMING II,3,0,0,3,1,1,0,1,0,0,0,0,0
OBJECT ORIENTED PROGRAMMING II LAB.,1,0,0,2,2,3,1,0,0,0,0,0,0
OTONOM ROBOTİK SENTEZ VE TASARIMI,5,1,1,3,3,3,2,3,2,2,2,3,0
PARALLEL PROGRAMMING,3,1,0,3,1,2,0,1,0,1,0,0,0
PATTERN RECOGNITION,3,1,0,3,2,2,0,1,1,1,0,0,0
PHYSICS I,3,0,3,0,0,0,0,0,0,0,0,0,0
PHYSICS I LAB,1,0,3,0,0,1,0,2,0,0,0,0,0
PHYSICS II,3,0,3,0,0,0,0,0,0,0,0,0,0
PHYSICS II LAB,1,0,3,0,0,1,0,2,0,0,0,0,0
PLC AUTOMATION SYSTEMS,3,0,1,3,1,2,1,2,0,2,1,2,0
PLC AUTOMATION SYSTEMS LAB.,1,0,0,2,1,3,0,0,0,0,0,0,0
PROBABILITY,3,0,3,1,0,0,0,0,0,0,0,0,0
PROBLEMS IN DATA STRUCTURES AND ALGORITHMS,3,1,0,0,0,0,0,0,0,0,0,0,0
PROJE VE İŞ YÖNETİMİ,2,0,0,2,0,3,1,0,0,2,2,3,0
REAL TIME DIGITAL SIGNAL PROCESSING LABORATORY,1,0,0,2,1,3,0,0,0,0,0,0,0
REAL TIME DSP SYSTEM DESIGN,3,1,1,3,1,2,1,2,0,2,1,2,0
SAYISAL SİSTEMLER I,3,0,1,3,1,0,0,0,0,0,0,0,0
SAYISAL SİSTEMLER II,3,0,1,3,1,0,0,0,0,0,0,0,0
SAYISAL SİSTEMLER LAB.,1,0,0,2,1,3,2,0,0,0,0,0,0
SAYISAL TASARIM,4,0,1,3,1,2,1,0,0,0,0,0,0
SAYISAL TASARIM LAB.,1,0,0,3,2,2,2,2,0,0,0,0,0
SİSTEM PROGRAMLAMA,3,1,0,0,1,1,3,1,0,1,0,1,0
YAZILIM MÜHENDİSLİĞİ,3,0,0,3,1,2,1,1,1,1,0,0,0
SYSTEMS ANALYSIS,3,1,1,3,1,2,1,2,0,2,1,2,0
TASARIM SÜREÇLERİ,3,0,1,2,3,2,2,2,1,3,2,0,0
VERİ TABANI YÖNETİM SİSTEMLERİ,3,0,0,3,1,2,0,1,1,0,0,0,0
VERİ TABANI YÖNETİM SİSTEMLERİ LAB.,1,0,0,3,2,2,0,2,1,2,0,0,0
VERİ YAPILARI,2,0,1,3,0,0,0,0,0,0,0,0,0
VERİ YAPILARI LABORATUVARI,1,0,1,3,1,2,1,2,0,0,0,0,0
WEB BASED TECHNOLOGIES,3,1,1,3,1,2,1,2,1,2,0,0,0
YAPAY ZEKA  MÜH. ARAŞTIRMALARI,3,0,1,3,3,3,2,3,2,2,2,3,0
